Name complex,Geo,State of house,Rooms amount,"Squares,м²",Metro,"Time to metro,мин.","Price,₽",Data
ЖК «Новое Колпино»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Новое Колпино жилой комплекс, к39",Новостройка,1-комн. квартира,"32,64 ",Рыбацкое,19 ,4 857 787 ,15.10
ЖК «Курортный Квартал»,"Санкт-Петербург, р-н Курортный, мкр. Песочный, Курортный квартал жилой комплекс",Новостройка,Студия,"24,9 ",Парнас,22 ,4 850 983 ,15.10
ЖК «Parkolovo (Парколово)»,"Санкт-Петербург, р-н Выборгский, мкр. Парголово, Пригородный территория",Новостройка,Студия,"31,8 ",Парнас,13 ,4 885 226 ,15.10
ЖК «Аэросити 4»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Жилой Аэросити 4 квартал",Новостройка,1-комн. квартира,"34,63 ",Купчино,7 ,4 882 830 ,11.10
ЖК «Северная долина»,"Санкт-Петербург, р-н Выборгский, мкр. Парголово, Парнас, Заречная ул., 54",Новостройка,Студия,"21,26 ",Парнас,8 ,4 894 052 ,11.10
ЖК «Зеленый квартал»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, ул. Струве, 12",Новостройка,Студия,"22,35 ",Звездная,12 ,4 850 061 ,14.10
ЖК «Зеленый квартал»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, ул. Струве, 8к2",Новостройка,Студия,"22,07 ",Звездная,12 ,4 850 081 ,14.10
ЖК «Зеленый квартал»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, ул. Струве, 10к2",Новостройка,Студия,"22,39 ",Звездная,12 ,4 850 177 ,14.10
ЖК «Зеленый квартал»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, Пулковское ш., 71к12",Новостройка,Студия,"23,7 ",Звездная,17 ,4 850 110 ,14.10
ЖК «ЮгТаун. Олимпийские кварталы»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Пулковское территория",Новостройка,Студия,"26,45 ",Звездная,13 ,4 852 500 ,13.10
ЖК «Парадный ансамбль»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, Пулковское ш., 99к6",Новостройка,Студия,"25,54 ",Шушары,16 ,4 850 094 ,13.10
ЖК «Chkalov (Чкалов)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Чкалов жилой комплекс",Новостройка,Студия,"23,51 ",Купчино,9 ,4 873 861 ,12.10
ЖК «Новое Колпино»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Новое Колпино жилой комплекс, к39",Новостройка,1-комн. квартира,"33,54 ",Рыбацкое,19 ,4 948 756 ,15.10
ЖК «Астрид»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Астрид жилой комплекс, 10",Новостройка,Студия,"25,37 ",Рыбацкое,18 ,4 911 993 ,15.10
ЖК «Курортный Квартал»,"Санкт-Петербург, р-н Курортный, мкр. Песочный, Курортный квартал жилой комплекс, 6",Новостройка,Студия,"25,6 ",Парнас,23 ,4 949 086 ,15.10
ЖК «Chkalov (Чкалов)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Чкалов жилой комплекс",Новостройка,Студия,"24,56 ",Купчино,9 ,4 925 958 ,03.10
ЖК «Зеленый квартал»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, ул. Струве, 12",Новостройка,Студия,"25,32 ",Звездная,12 ,4 900 128 ,13.10
ЖК «Зеленый квартал»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, ул. Струве, 8к2",Новостройка,Студия,"26,87 ",Звездная,12 ,4 900 191 ,14.10
ЖК «Зеленый квартал»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, ул. Струве, 8к2",Новостройка,Студия,"26,12 ",Звездная,12 ,4 900 159 ,14.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, Ап-квартал Пушкинский жилой комплекс",Новостройка,Студия,"24,21 ",Шушары,21 ,4 912 087 ,13.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, Ап-квартал Пушкинский жилой комплекс",Новостройка,Студия,"24,67 ",Шушары,21 ,4 900 152 ,13.10
ЖК «Zoom на Неве (Зум на Неве)»,"Санкт-Петербург, р-н Невский, Невский, Зум на Неве жилой комплекс",Новостройка Апартаменты,Апартаменты-студия,"30,18 ",Улица Дыбенко,5 ,4 925 632 ,09.10
ЖК «WINGS апартаменты на Крыленко (Вингс апартаменты на Крыленко)»,"Санкт-Петербург, р-н Невский, № 54",Новостройка Апартаменты,Апартаменты-студия,"25,94 ",Улица Дыбенко,4 ,4 906 696 ,06.10
ЖК «New Time (Нью Тайм)»,"Санкт-Петербург, р-н Приморский, Юнтолово, Планерная ул., 97к2",Новостройка,Студия,"22,2 ",Комендантский проспект,9 ,4 942 350 ,06.10
ЖК «Полет»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Полет жилой комплекс",Новостройка,1-комн. квартира,"46,64 ",Шушары,12 ,4 932 200 ,02.10
ЖК «Parkolovo (Парколово)»,"Санкт-Петербург, р-н Выборгский, мкр. Парголово, Пригородный территория",Новостройка,Студия,"31,32 ",Парнас,11 ,4 967 218 ,15.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, ул. Камероновская, 20",Новостройка,Студия,"25,98 ",Шушары,28 ,4 961 608 ,12.10
,"Санкт-Петербург, р-н Красногвардейский, Полюстрово, Ручьи жилой комплекс",Новостройка,1-комн. квартира,"31,49 ",Академическая,15 ,4 959 675 ,13.10
ЖК «Аэросити Family (Аэросити Фэмили)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, просп. Старорусский, 3к3",Новостройка,1-комн. квартира,"30,96 ",Купчино,7 ,4 953 600 ,10.10
ЖК «Аэросити 4»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Жилой Аэросити 4 квартал",Новостройка,1-комн. квартира,"35,78 ",Купчино,7 ,4 973 420 ,11.10
ЖК «ЮгТаун. Олимпийские кварталы»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Пулковское территория",Новостройка,Студия,"26,65 ",Звездная,13 ,4 961 880 ,13.10
ЖК «ЮгТаун. Олимпийские кварталы»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, ЮгТаун жилой комплекс",Новостройка,Студия,"22,3 ",Звездная,13 ,4 977 360 ,13.10
ЖК «Аэросити Club (Аэросити Клаб)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Аэросити Клаб жилой комплекс",Новостройка,1-комн. квартира,"35,62 ",Звездная,10 ,4 986 800 ,11.10
ЖК «Северная долина»,"Санкт-Петербург, р-н Выборгский, мкр. Парголово, Парнас, Заречная ул., 46к1",Новостройка,Студия,"21,26 ",Парнас,4 ,4 981 218 ,11.10
ЖК «UP-квартал Новый Московский»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Ап-квартал Новый Московский жилой комплекс",Новостройка,1-комн. квартира,"38,53 ",Шушары,16 ,4 964 975 ,28.09
ЖК «Апарт-отель Начало»,"Санкт-Петербург, р-н Невский, Ивановский, Варфоломеевская ул., 6",Новостройка Апартаменты,Апартаменты-студия,"26,5 ",Ломоносовская,18 ,4 958 415 ,06.10
ЖК «Полет»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Полет жилой комплекс",Новостройка,2-комн. квартира,"42,9 ",Шушары,12 ,4 968 500 ,02.10
ЖК «UP-квартал Новый Московский»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Ап-квартал Новый Московский жилой комплекс",Новостройка,1-комн. квартира,"37,83 ",Шушары,16 ,4 971 240 ,28.09
ЖК «Апарт-отель Kirovsky AVENIR (Кировский Авенир)»,"Санкт-Петербург, р-н Кировский, Автово, дор. На Турухтанные острова, 5к2",Новостройка Апартаменты,Апартаменты-студия,"28,38 ",Автово,12 ,5 015 881 ,15.10
